Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy,Condition
1,1,1,3.5,1.147,0.303,0.42,1,MM
1,1,1,3.5,1.598,0.504,0.4,1,MM
1,1,2,2.3,0.746,1.772,0.42,0,MM
1,2,1,1,1.732,1.372,0.44,0,MM
1,2,1,1.9,2,1.606,0.46,0,MM
1,2,2,6,0.495,1.441,0.48,1,MM
1,2,2,4.45,1.482,0.854,0.46,1,MM
1,1,1,5.95,0.561,1.59,0.44,1,MM
1,1,2,3.65,0.73,0.57,0.46,0,MM
1,1,2,4.3,0.762,0.771,0.48,0,MM
1,1,1,4.75,0.897,0.618,0.5,1,MM
1,2,1,4.8,0.713,1.259,0.52,0,MM
1,1,2,6,0.379,1.242,0.54,0,MM
1,1,1,6,0.862,1.759,0.56,1,MM
1,2,2,6,0.663,1.675,0.54,1,MM
1,2,2,4.95,0.48,1.458,0.52,1,MM
1,1,1,2.5,1.381,1.005,0.5,1,MM
1,2,1,3.6,0.898,1.171,0.52,0,MM
1,2,2,6,0.245,1.153,0.54,1,MM
1,2,2,6,0.33,1.572,0.52,1,MM
1,2,2,4.8,0.462,1.273,0.5,1,MM
1,1,1,3.3,0.979,0.554,0.48,1,MM
1,1,2,4.65,0.446,1.157,0.5,0,MM
1,2,2,6,0.445,1.438,0.52,1,MM
1,1,2,4.85,0.579,1.274,0.54,0,MM
1,1,2,2.3,1.114,1.355,0.56,0,MM
1,2,2,6,0.361,1.858,0.58,1,MM
1,2,2,6,0.695,1.458,0.56,1,MM
1,1,1,4.5,0.88,1.239,0.54,1,MM
1,1,1,6,0.73,1.423,0.52,1,MM
1,1,2,4.4,0.78,0.907,0.54,0,MM
1,2,2,6,0.545,1.525,0.56,1,MM
1,1,1,6,0.663,1.238,0.54,1,MM
1,1,2,4.9,0.578,1.96,0.56,0,MM
1,1,1,6,0.747,1.859,0.58,1,MM
1,2,2,6,0.329,1.338,0.56,1,MM
1,1,2,2.25,1.415,1.173,0.58,0,MM
