Subj_idx,Stimulus,Response,Confidence,RT_dec,Task,Contrast_stair
1,1,-1,1,1.292221188,contrast,0.061
1,1,1,2,0.680493349,contrast,0.066
1,-1,-1,2,0.563273977,contrast,0.066
1,1,1,2,0.5568102,contrast,0.066
1,1,1,2,0.598451078,contrast,0.061
1,-1,-1,1,0.738374013,contrast,0.061
1,1,1,2,0.572156993,contrast,0.061
1,-1,1,2,2.130219509,contrast,0.056
1,1,-1,2,0.869331827,contrast,0.061
1,-1,-1,2,0.592209463,contrast,0.066
1,-1,1,2,0.566156471,contrast,0.066
1,1,1,2,1.028929377,contrast,0.071
1,1,-1,2,2.420467124,contrast,0.071
1,1,1,2,0.743498807,contrast,0.076
1,1,1,2,0.655913892,contrast,0.076
1,-1,-1,2,0.591381968,contrast,0.076
1,-1,-1,2,0.664228715,contrast,0.071
1,1,-1,2,0.700124292,contrast,0.071
1,-1,-1,2,0.778453755,contrast,0.076
1,1,1,2,0.600741673,contrast,0.076
1,-1,1,2,1.26264646,contrast,0.076
1,1,1,2,0.544969492,contrast,0.081
1,1,1,2,0.760152054,contrast,0.081
1,1,1,2,0.723686761,contrast,0.081
1,1,1,2,0.706852408,contrast,0.076
1,-1,-1,2,0.687466545,contrast,0.076
1,1,1,2,0.664543661,contrast,0.076
1,-1,-1,2,0.573922475,contrast,0.071
1,-1,1,2,0.610325759,contrast,0.071
1,1,1,2,0.545091231,contrast,0.076
1,-1,-1,2,0.646137433,contrast,0.076
1,1,1,2,0.728428806,contrast,0.076
1,-1,-1,2,0.548456766,contrast,0.071
1,-1,-1,2,0.931855782,contrast,0.071
1,-1,1,1,0.524050898,contrast,0.071
1,1,-1,1,1.356643787,contrast,0.076
1,-1,-1,2,0.664244728,contrast,0.081
1,1,1,2,0.620913027,contrast,0.081
1,1,1,2,0.621313733,contrast,0.081
1,-1,-1,2,0.708745671,contrast,0.076
1,1,1,2,0.637673075,contrast,0.076
1,1,1,2,0.610351135,contrast,0.076
1,-1,-1,2,0.682054737,contrast,0.071
1,1,1,2,0.497035384,contrast,0.071
1,-1,-1,1,1.24099642,contrast,0.071
1,1,1,2,0.456540988,contrast,0.066
1,-1,1,2,0.991027488,contrast,0.066
1,-1,1,2,0.597221372,contrast,0.071
1,-1,-1,2,0.692685365,contrast,0.076
1,-1,-1,2,0.597034023,contrast,0.076
1,1,-1,1,1.417755186,contrast,0.076
1,1,1,2,0.750902774,contrast,0.081
1,-1,-1,2,0.661932489,contrast,0.081
1,-1,1,2,0.61909883,contrast,0.081
1,1,1,2,0.726341784,contrast,0.086
1,-1,-1,2,0.740612633,contrast,0.086
1,-1,-1,2,0.706939251,contrast,0.086
1,1,1,2,1.823104805,contrast,0.081
1,1,-1,1,1.021160405,contrast,0.081
1,1,1,1,0.797541074,contrast,0.086
1,1,1,1,0.764043781,contrast,0.086
1,1,1,1,0.651551676,contrast,0.086
1,-1,-1,2,0.644260999,contrast,0.081
1,-1,-1,2,0.753125413,contrast,0.081
1,1,1,2,1.64550215,contrast,0.0798
1,-1,-1,2,0.705144666,contrast,0.0798
1,1,1,3,0.579976028,contrast,0.0798
1,1,1,3,0.590454968,contrast,0.0748
1,1,1,3,0.495948872,contrast,0.0748
1,1,1,3,0.558053362,contrast,0.0748
1,1,1,3,0.514051822,contrast,0.0698
1,1,1,3,0.576016205,contrast,0.0698
1,-1,1,3,0.68330462,contrast,0.0698
1,1,1,3,0.688199024,contrast,0.0748
1,1,1,3,0.544116221,contrast,0.0748
1,1,1,3,0.536476473,contrast,0.0748
1,-1,-1,3,0.753939488,contrast,0.0698
1,1,1,3,0.990833272,contrast,0.0698
1,-1,-1,2,0.650540796,contrast,0.0698
1,-1,-1,1,1.337983848,contrast,0.0648
1,-1,-1,2,0.904174278,contrast,0.0648
1,1,1,2,0.697798911,contrast,0.0648
1,-1,-1,2,0.735663368,contrast,0.0598
1,1,1,2,0.685960219,contrast,0.0598
1,-1,-1,2,0.640306296,contrast,0.0598
1,-1,-1,2,1.060837691,contrast,0.0548
1,1,1,2,0.459688885,contrast,0.0548
1,-1,-1,2,1.983342525,contrast,0.0548
1,1,1,2,0.707731256,contrast,0.0498
1,-1,-1,2,0.925734301,contrast,0.0498
1,1,1,2,0.776120236,contrast,0.0498
1,1,1,2,1.270581117,contrast,0.0448
1,1,1,2,0.863395204,contrast,0.0448
1,1,1,2,0.751280798,contrast,0.0448
1,1,1,2,0.801406058,contrast,0.0398
1,-1,-1,2,2.130360537,contrast,0.0398
1,-1,-1,2,0.853470648,contrast,0.0398
1,-1,1,2,0.752258237,contrast,0.0348
1,1,1,2,0.786912314,contrast,0.0398
1,1,1,2,0.799957994,contrast,0.0398
1,-1,-1,2,0.658267851,contrast,0.0398
1,1,1,2,0.54153295,contrast,0.0348
1,1,1,2,1.30760928,contrast,0.0348
1,1,1,2,1.829710551,contrast,0.0348
1,-1,-1,2,0.612005974,contrast,0.0298
1,1,1,2,0.625369029,contrast,0.0298
1,-1,-1,2,0.695665221,contrast,0.0298
1,1,1,2,0.565757849,contrast,0.0248
1,1,1,2,0.674361081,contrast,0.0248
1,-1,-1,2,0.688636904,contrast,0.0248
1,1,1,2,0.538003894,contrast,0.0198
1,1,1,2,0.605275512,contrast,0.0198
1,-1,-1,1,16.34247528,contrast,0.0198
1,1,1,1,0.702922357,contrast,0.0148
1,1,1,2,0.767597728,contrast,0.0148
