"","Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Task"
"155",1,1,1,4,1.08968682600243,0.284279236999282,13,"memory"
"156",1,1,1,4,0.685635704998276,0.308467449998716,13,"memory"
"157",1,1,1,4,1.26870882599906,0.407174469997699,13,"memory"
"158",1,2,2,2,1.6292950269999,0.86944054599735,13,"memory"
"159",1,1,1,1,0.935847703003674,1.17687159500201,14,"memory"
"160",1,2,1,2,0.906409863004228,0.606689396001457,14,"memory"
"161",1,1,1,1,1.07054737699946,1.20786280699394,14,"memory"
"162",1,1,1,4,0.303083079998032,0.250407908999478,14,"memory"
"163",1,1,2,2,2.29501934799919,0.36661384600302,14,"memory"
"164",1,1,1,3,0.649189347001084,0.444342157999927,14,"memory"
"165",1,1,2,2,1.31315439099853,0.542347688999143,14,"memory"
"166",1,1,2,1,1.28282013200078,0.661835257000348,14,"memory"
"167",1,1,1,3,0.803252639998391,0.778045242994267,14,"memory"
"168",1,2,2,4,0.310889084998053,0.190997440004139,14,"memory"
"169",1,1,2,2,1.45061171700218,0.406048075994477,14,"memory"
"170",1,2,2,3,0.825464114001079,0.451507836005476,14,"memory"
"171",1,1,2,1,2.10483412000031,0.309483753000677,14,"memory"
"172",1,1,1,4,1.14585719000024,0.184033945995907,14,"memory"
"173",1,1,2,1,1.82493664400681,0.431557251999038,14,"memory"
"174",1,2,2,2,0.786618127996917,0.503291852000984,14,"memory"
"175",1,1,1,3,0.756583582995518,0.99378402599541,14,"memory"
"176",1,2,2,1,2.63275480500306,0.346752347999427,14,"memory"
"177",1,1,1,2,0.929330963001121,0.296208676001697,14,"memory"
"178",1,1,1,4,0.399108608005918,0.289837746000558,14,"memory"
"179",1,1,2,3,0.625997934002953,0.465679631000967,14,"memory"
"180",1,1,1,4,0.759965041004762,1.14536215100088,14,"memory"
"181",1,2,1,2,0.777014781000616,0.616029596996668,14,"memory"
"182",1,2,2,4,0.466997853996872,0.196228095999686,14,"memory"
