Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
1,2,2,4,1.48785602,0.794382696,1,Incongruent,C
2,2,2,4,4.749047898,1.575220687,1,Incongruent,C
2,2,2,4,6.265541635,0.95264166,1,Incongruent,C
2,2,2,4,2.394240659,0.57263197,3,Incongruent,C
2,1,1,4,6.092635449,0.920214597,3,Congruent,C
2,2,2,4,2.4927879,1.055939669,3,Incongruent,C
2,1,2,1,4.447739714,2.112711338,2,Incongruent,C
2,2,2,NaN,6.512678354,NaN,2,Congruent,C
2,2,2,4,3.343207244,0.938016846,1,Congruent,C
2,1,1,2,4.180280541,0.665303932,2,Congruent,C
2,1,1,3,3.767668608,1.405576859,1,Congruent,C
2,2,2,1,4.729572214,1.237890364,3,Congruent,C
2,1,1,4,2.14385512,1.743980413,1,Incongruent,C
2,1,2,2,5.199537559,0.698299611,3,Incongruent,C
2,1,2,2,4.550094133,1.275041938,2,Incongruent,C
2,2,2,4,5.883092151,1.201126482,1,Incongruent,C
2,1,1,4,6.152143938,0.849703036,1,Incongruent,C
2,2,2,2,3.054806131,1.062430333,1,Congruent,C
2,2,2,4,5.018634249,1.88794261,3,Congruent,C
2,2,2,2,5.14788835,0.819523766,1,Incongruent,C
2,1,1,4,4.7941047,1.546234853,3,Incongruent,C
2,2,2,4,3.335937913,0.834061607,3,Congruent,C
2,1,1,4,3.113297595,0.786549421,1,Congruent,C
2,1,2,2,4.579066019,1.330033506,3,Incongruent,C
2,2,2,4,2.776482553,0.807755976,1,Congruent,C
2,2,2,2,4.38756661,0.597915242,2,Congruent,C
2,2,2,4,3.001638974,0.810890744,3,Congruent,C
2,2,2,4,4.627109486,0.941772742,2,Incongruent,C
2,2,2,3,5.497360206,1.017074865,2,Congruent,C
2,1,1,4,4.008562868,0.468570064,2,Incongruent,C
2,1,2,3,5.632107638,1.051491671,2,Congruent,C
2,2,1,4,2.517138249,0.830094018,1,Incongruent,C
2,2,2,4,3.40131963,1.012875072,2,Congruent,C
2,1,1,4,4.150926707,0.452078174,2,Congruent,C
2,2,2,4,5.36537626,0.819838843,3,Incongruent,C
2,2,2,4,3.674569569,0.910602293,3,Congruent,C
2,1,1,NaN,2.949251303,NaN,3,Incongruent,C
2,1,1,4,3.786746754,0.302604184,1,Congruent,C
2,2,2,2,2.836206016,0.455873864,3,Congruent,C
2,1,1,4,4.657532038,0.827147968,1,Congruent,C
2,2,2,4,4.571644483,0.548193006,2,Incongruent,C
2,1,1,4,2.63289533,0.471944832,2,Incongruent,C
2,1,1,2,3.253897742,1.14108466,1,Incongruent,C
2,2,2,4,2.822142842,0.919044546,3,Congruent,C
2,1,1,4,3.845308781,0.781334244,2,Incongruent,C
2,2,2,4,5.816790639,0.900603528,2,Incongruent,C
