Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
1,-45,45,3,0.742053791000217,NaN,0.5,0,percept,2
1,45,45,2,0.687819339999805,NaN,0.5,1,percept,2
1,-45,-45,1,0.741091707000123,NaN,1,1,percept,2
1,-45,45,2,0.730488021000383,NaN,1,0,percept,2
1,-45,-45,2,0.528567311000188,NaN,1,1,percept,2
1,-45,-45,2,0.74798162100069,NaN,0.5,1,percept,2
1,-45,-45,2,0.568007890000445,NaN,1,1,percept,2
1,-45,45,2,0.699376888000188,NaN,1,0,percept,2
1,-45,-45,2,0.65501437400053,NaN,1,1,percept,2
1,45,45,2,1.0751255920004,NaN,1,1,percept,2
1,45,-45,1,0.717685223000444,NaN,0.5,0,percept,2
1,-45,-45,1,0.734803179000664,NaN,1,1,percept,2
1,45,-45,1,0.7150541230003,NaN,1,0,percept,2
1,-45,-45,1,0.727757609000037,NaN,0.5,1,percept,2
1,-45,-45,1,0.867410355999709,NaN,1,1,percept,2
1,45,45,1,1.33014775400079,NaN,1,1,percept,2
1,45,-45,1,0.821151443000417,NaN,0.5,0,percept,2
1,-45,-45,1,0.66041979900001,NaN,1,1,percept,2
1,-45,-45,2,0.572788979000507,NaN,1,1,percept,2
1,-45,-45,2,0.591520510000009,NaN,1,1,percept,2
1,-45,-45,2,1.0984924760005,NaN,0.5,1,percept,2
1,45,-45,2,0.520721503999994,NaN,0.5,0,percept,2
1,-45,-45,3,0.719696592999753,NaN,0.5,1,percept,2
1,-45,-45,2,0.599442648999684,NaN,1,1,percept,2
1,45,45,2,1.25089309100076,NaN,0.5,1,percept,2
1,-45,-45,3,0.634750698999596,NaN,1,1,percept,2
1,-45,-45,2,0.987566927000444,NaN,1,1,percept,2
1,45,45,3,0.641082323000774,NaN,0.5,1,percept,2
1,-45,-45,2,0.485175230000095,NaN,1,1,percept,2
1,45,45,3,0.615332609000689,NaN,1,1,percept,2
1,-45,-45,2,0.424328275000335,NaN,1,1,percept,2
1,45,-45,1,0.952950338000846,NaN,1,0,percept,2
1,-45,-45,2,0.529108586000802,NaN,1,1,percept,2
1,45,45,3,0.690213537000091,NaN,0.5,1,percept,2
1,-45,-45,2,0.526299047999601,NaN,0.5,1,percept,2
1,45,-45,3,0.760525393000535,NaN,1,0,percept,2
1,45,45,3,0.575256848000208,NaN,0.5,1,percept,2
1,45,45,2,1.14423471000009,NaN,0.5,1,percept,2
1,-45,-45,1,0.69394791600007,NaN,0.5,1,percept,2
1,45,45,1,1.41509943900019,NaN,0.5,1,percept,2
1,-45,45,1,1.11714000700067,NaN,1,0,percept,2
1,45,45,1,1.342509092,NaN,0.5,1,percept,2
1,-45,-45,1,0.739311453000482,NaN,0.5,1,percept,2
1,-45,-45,1,0.601961211000344,NaN,0.5,1,percept,2
1,-45,-45,1,0.816654746000495,NaN,1,1,percept,2
1,45,45,4,0.761219239000638,NaN,0.5,1,percept,2
1,-45,-45,3,0.742701175000548,NaN,0.5,1,percept,2
1,45,45,4,0.694140571999924,NaN,0.5,1,percept,2
1,45,45,3,1.30385131600087,NaN,1,1,percept,2
1,45,-45,2,1.54716167500101,NaN,1,0,percept,2
1,45,45,2,1.31517833500038,NaN,0.5,1,percept,2
1,45,-45,1,0.834481140999742,NaN,1,0,percept,2
1,45,45,4,0.658578587999727,NaN,1,1,percept,2
