,Subject,N_low_scores,N_low_rates,N_low_dprime,N_low_metad,N_low_criterion,N_low_mratio,N_low_mdiff,C_high_scores,C_high_rates,C_high_dprime,C_high_metad,C_high_criterion,C_high_mratio,C_high_mdiff,C_low_scores,C_low_rates,C_low_dprime,C_low_metad,C_low_criterion,C_low_mratio,C_low_mdiff,N_high_scores,N_high_rates,N_high_dprime,N_high_metad,N_high_criterion,N_high_mratio,N_high_mdiff,N_low_mratio_log,N_high_mratio_log,C_low_mratio_log,C_high_mratio_log,DGI_N_low_N_high,DGI_N_low_C_low,DGI_N_low_C_high,DGI_N_high_C_low,DGI_N_high_C_high,DGI_C_low_C_high
10,14,"(13, 10, 5, 17)","(0.5652173913043478, 0.22727272727272727)",0.8664131880191945,0.4371257879465517,0.2918239088419856,0.5045234698538172,-0.4292874000726427,"(17, 6, 6, 16)","(0.7391304347826086, 0.2727272727272727)",1.1854038914647709,2.6972318202832626,-0.0180407716679338,2.2753694666468216,1.5118279288184917,"(14, 9, 5, 17)","(0.6086956521739131, 0.22727272727272727)",0.9732494802349472,-0.2033286704105328,0.235968765827671,-0.2089173172344754,-1.1765781506454802,"(16, 9, 4, 16)","(0.64, 0.2)",1.1357410706263902,0.7688756264224846,0.2415812201608602,0.676981440847631,-0.3668654442039055,-0.6841409192520741,-0.39011142026005735,,0.8221424421386667,0.29402949899201675,,1.5062833613907407,,1.212253862398724,
11,15,"(11, 12, 13, 9)","(0.4782608695652174, 0.5909090909090909)",-0.2719680961945203,0.2822797301622932,-0.0876826013655655,-1.0379148661628226,0.5542478263568135,"(13, 9, 5, 16)","(0.5909090909090909, 0.23809523809523808)",0.8942126660146617,-0.1801916872586933,0.2412794574051284,-0.2015087619612613,-1.074404353273355,"(14, 5, 4, 15)","(0.7368421052631579, 0.21052631578947367)",1.3531751524029478,0.3742025626912614,0.0854781897902996,0.2765366789559786,-0.9789725897116864,"(16, 7, 3, 17)","(0.6956521739130435, 0.15)",1.4561979772163705,0.0254149921491046,0.2622485878112302,0.0174529786105645,-1.4307829850672658,,-4.04824495088511,-1.2854118123655691,,,,,2.7628331385195404,,
12,17,"(17, 5, 7, 16)","(0.7727272727272727, 0.30434782608695654)",1.1978789145236937,0.7324985320708131,-0.1179611904459864,0.611496306671424,-0.4653803824528806,"(16, 5, 5, 19)","(0.7619047619047619, 0.20833333333333334)",1.4466829643847663,0.6710924900283016,0.0498873845552119,0.4638835920167888,-0.7755904743564649,"(13, 6, 10, 14)","(0.6842105263157895, 0.4166666666666667)",0.6556556693117305,1.188448235947397,-0.1345386295415127,1.8126103251649777,0.5327925666356664,"(18, 8, 5, 14)","(0.6923076923076923, 0.2631578947368421)",1.0800083408804018,1.4624176836128024,0.0656188887031727,1.3540799901792129,0.3824093427324007,-0.4918463636582289,0.30312224968692103,0.5947679749507864,-0.7681216375055134,0.7949686133451499,1.0866143386090152,0.2762752738472845,0.29164572526386534,1.0712438871924346,1.3628896124563
13,18,"(9, 10, 14, 12)","(0.47368421052631576, 0.5384615384615384)",-0.1556786265042877,1.3892327057923557,-0.0152734014568991,-8.923721495924767,1.5449113322966432,"(19, 2, 6, 18)","(0.9047619047619048, 0.25)",1.850759455615119,2.1614858418424383,-0.3173409832948476,1.1678912866199818,0.3107263862273193,"(17, 8, 3, 17)","(0.68, 0.15)",1.4158470494076358,0.97538631575104,0.2843672951896407,0.6889065567916559,-0.4404607336565959,"(20, 5, 8, 12)","(0.8, 0.4)",1.0421349231679768,1.933967099784786,-0.2941370652185573,1.8557741965941763,0.8918321766168091,,0.6183019656448775,-0.3726496386584215,0.15519980355015864,,,,0.990951604303299,0.4631021620947189,0.5278494422085801
14,19,"(9, 10, 16, 10)","(0.47368421052631576, 0.6153846153846154)",-0.3449229250057221,-0.0954756644748381,-0.1136847098726763,0.2768028958157948,0.2494472605308839,"(14, 7, 7, 16)","(0.6666666666666666, 0.30434782608695654)",0.8987597333020063,2.1106428866710334,0.0406044572879359,2.348395025349676,1.211883153369027,"(18, 7, 2, 17)","(0.72, 0.10526315789473684)",1.7082341432156067,3.305799980580981,0.3346390064970017,1.935214791081328,1.5975658373653745,"(21, 7, 1, 16)","(0.75, 0.058823529411764705)",2.0305977100256163,0.8678119392904053,0.4451183605828585,0.4273677326659931,-1.162785770735211,-1.2844495935310818,-0.8501104357510638,0.6602183234641573,0.8537321268909152,0.43433915778001797,1.9446679169952392,2.138181720421997,1.5103287592152213,1.703842562641979,0.19351380342675784
15,21,"(6, 12, 16, 7)","(0.3333333333333333, 0.6956521739130435)",-0.8955006629860331,-0.4161865151158352,-0.0406044572879359,0.4647528832955497,0.4793141478701979,,,,,,,,"(5, 12, 10, 15)","(0.29411764705882354, 0.4)",-0.2650838812987254,0.3754430500374132,0.3973710941324437,-1.4163179149105751,0.6405269313361386,"(18, 7, 6, 14)","(0.72, 0.3)",1.055085333521153,0.8445561399124049,-0.0292204972815876,0.8004624015517818,-0.2105291936087481,-0.7662494484287692,-0.222565716353264,,,0.5436837320755052,,,,,
16,24,"(17, 5, 12, 9)","(0.7727272727272727, 0.5714285714285714)",0.5373554137715122,-0.4561706762836242,-0.4639354822780036,-0.8489179872254745,-0.9935260900551364,"(21, 2, 7, 15)","(0.9130434782608695, 0.3181818181818182)",1.708905773678456,2.892744116340074,-0.443474131473169,1.6927464117072883,1.183838342661618,"(22, 1, 1, 21)","(0.9565217391304348, 0.045454545454545456)",3.0465101304202262,4.14879160882803,-0.0105268384624155,1.3618177623639671,1.1022814784078037,"(18, 5, 5, 16)","(0.782608695652174, 0.23809523809523808)",1.416083794057598,1.1358796652640553,-0.0342953895666098,0.802127437677501,-0.2802041287935428,,-0.2204877838916079,0.30882039728021743,0.5263523055806256,,,,0.5293081811718253,0.7468400894722336,0.2175319083004082
17,26,"(13, 7, 5, 16)","(0.65, 0.23809523809523808)",1.0405961069966514,1.8939785587819964,0.1635612829909606,1.82008999077304,0.853382451785345,"(15, 6, 3, 19)","(0.7142857142857143, 0.13636363636363635)",1.5646733791177727,2.0847356417636638,0.2654273700803252,1.3323775233775137,0.5200622626458906,"(10, 11, 10, 7)","(0.47619047619047616, 0.5882352941176471)",-0.2674280686062991,0.0667187620369524,-0.0816453655775219,-0.2494830194326913,0.3341468306432515,"(15, 6, 6, 18)","(0.7142857142857143, 0.25)",1.1808645115956902,2.3509586929211603,0.0542704641316093,1.9908792836396905,1.1700941813254702,0.5988859453460088,0.688576392224181,,0.28696495791974225,0.08969044687817218,,0.31192098742626656,,0.40161143430443874,
18,27,"(9, 11, 13, 11)","(0.45, 0.5416666666666666)",-0.2200818335513119,0.4130715035709054,0.0105139456204993,-1.8768995918720304,0.6331533371222173,"(10, 9, 4, 16)","(0.5263157894736842, 0.2)",0.8543453856865885,1.6378935556755143,0.3878047105985368,1.9171327932663125,0.7835481699889258,"(13, 6, 6, 13)","(0.6842105263157895, 0.3157894736842105)",0.907524380339759,0.7575855218696161,-0.0,0.8347825560190364,-0.1499388584701428,"(14, 10, 6, 15)","(0.5833333333333334, 0.2857142857142857)",0.7394125853446237,2.235259970725073,0.1777602138424691,3.0230212671904524,1.4958473853804493,,1.1062567509000814,-0.18058399999761182,0.6508307330604493,,,,1.2868407508976931,0.4554260178396321,0.831414733058061
19,4,,,,,,,,"(14, 10, 11, 7)","(0.5833333333333334, 0.6111111111111112)",-0.0651006462631018,-0.3915106040485087,-0.2463222706552165,6.013928071715808,-0.3264099577854069,,,,,,,,"(14, 4, 6, 18)","(0.7777777777777778, 0.25)",1.3598429055709085,0.9713170182680968,-0.0451099617951527,0.7142861975371375,-0.3885258873028115,,-0.3364715600694493,,1.7940781243544432,,,,,2.1305496844238925,
