Subject,N_low_scores,N_low_rates,N_low_dprime,N_low_metad,N_low_criterion,N_low_mratio,N_low_mdiff,C_high_scores,C_high_rates,C_high_dprime,C_high_metad,C_high_criterion,C_high_mratio,C_high_mdiff,C_low_scores,C_low_rates,C_low_dprime,C_low_metad,C_low_criterion,C_low_mratio,C_low_mdiff,N_high_scores,N_high_rates,N_high_dprime,N_high_metad,N_high_criterion,N_high_mratio,N_high_mdiff
14,"(13, 10, 5, 17)","(0.5652173913043478, 0.22727272727272727)",0.8664131880191945,0.43712578794655177,0.29182390884198567,0.5045234698538172,-0.42928740007264277,"(17, 6, 6, 16)","(0.7391304347826086, 0.2727272727272727)",1.1854038914647709,2.6972318202832626,-0.01804077166793383,2.2753694666468216,1.5118279288184917,"(14, 9, 5, 17)","(0.6086956521739131, 0.22727272727272727)",0.9732494802349473,-0.20332867041053285,0.23596876582767107,-0.20891731723447546,-1.1765781506454802,"(16, 9, 4, 16)","(0.64, 0.2)",1.1357410706263902,0.7688756264224846,0.2415812201608602,0.676981440847631,-0.36686544420390554
15,"(11, 12, 13, 9)","(0.4782608695652174, 0.5909090909090909)",-0.2719680961945203,0.2822797301622932,-0.08768260136556556,-1.0379148661628226,0.5542478263568135,"(13, 9, 5, 16)","(0.5909090909090909, 0.23809523809523808)",0.8942126660146617,-0.18019168725869336,0.2412794574051284,-0.20150876196126136,-1.074404353273355,"(14, 5, 4, 15)","(0.7368421052631579, 0.21052631578947367)",1.3531751524029478,0.37420256269126145,0.08547818979029964,0.27653667895597867,-0.9789725897116863,"(16, 7, 3, 17)","(0.6956521739130435, 0.15)",1.4561979772163705,0.02541499214910463,0.2622485878112302,0.017452978610564517,-1.4307829850672658
17,"(17, 5, 7, 16)","(0.7727272727272727, 0.30434782608695654)",1.1978789145236937,0.7324985320708131,-0.11796119044598641,0.611496306671424,-0.4653803824528806,"(16, 5, 5, 19)","(0.7619047619047619, 0.20833333333333334)",1.4466829643847665,0.6710924900283016,0.04988738455521197,0.4638835920167888,-0.7755904743564649,"(13, 6, 10, 14)","(0.6842105263157895, 0.4166666666666667)",0.6556556693117305,1.188448235947397,-0.13453862954151274,1.8126103251649777,0.5327925666356664,"(18, 8, 5, 14)","(0.6923076923076923, 0.2631578947368421)",1.0800083408804018,1.4624176836128024,0.06561888870317278,1.3540799901792129,0.3824093427324007
18,"(9, 10, 14, 12)","(0.47368421052631576, 0.5384615384615384)",-0.15567862650428774,1.3892327057923555,-0.01527340145689917,-8.923721495924767,1.5449113322966432,"(19, 2, 6, 18)","(0.9047619047619048, 0.25)",1.850759455615119,2.1614858418424383,-0.31734098329484767,1.1678912866199818,0.3107263862273193,"(17, 8, 3, 17)","(0.68, 0.15)",1.4158470494076358,0.97538631575104,0.2843672951896407,0.6889065567916559,-0.4404607336565959,"(20, 5, 8, 12)","(0.8, 0.4)",1.0421349231679768,1.933967099784786,-0.2941370652185573,1.8557741965941763,0.8918321766168091
19,"(9, 10, 16, 10)","(0.47368421052631576, 0.6153846153846154)",-0.3449229250057221,-0.09547566447483812,-0.11368470987267634,0.27680289581579487,0.24944726053088395,"(14, 7, 7, 16)","(0.6666666666666666, 0.30434782608695654)",0.8987597333020063,2.1106428866710334,0.04060445728793596,2.348395025349676,1.211883153369027,"(18, 7, 2, 17)","(0.72, 0.10526315789473684)",1.7082341432156067,3.3057999805809812,0.3346390064970017,1.9352147910813278,1.5975658373653745,"(21, 7, 1, 16)","(0.75, 0.058823529411764705)",2.0305977100256163,0.8678119392904053,0.44511836058285853,0.4273677326659931,-1.162785770735211
21,"(6, 12, 16, 7)","(0.3333333333333333, 0.6956521739130435)",-0.8955006629860331,-0.41618651511583526,-0.04060445728793591,0.4647528832955497,0.4793141478701979,,,,,,,,"(5, 12, 10, 15)","(0.29411764705882354, 0.4)",-0.2650838812987254,0.37544305003741324,0.39737109413244376,-1.4163179149105753,0.6405269313361386,"(18, 7, 6, 14)","(0.72, 0.3)",1.055085333521153,0.8445561399124049,-0.029220497281587654,0.8004624015517818,-0.2105291936087481
24,"(17, 5, 12, 9)","(0.7727272727272727, 0.5714285714285714)",0.5373554137715122,-0.4561706762836242,-0.4639354822780036,-0.8489179872254745,-0.9935260900551364,"(21, 2, 7, 15)","(0.9130434782608695, 0.3181818181818182)",1.708905773678456,2.892744116340074,-0.44347413147316905,1.6927464117072883,1.183838342661618,"(22, 1, 1, 21)","(0.9565217391304348, 0.045454545454545456)",3.0465101304202262,4.14879160882803,-0.010526838462415533,1.3618177623639671,1.1022814784078037,"(18, 5, 5, 16)","(0.782608695652174, 0.23809523809523808)",1.416083794057598,1.1358796652640553,-0.03429538956660988,0.802127437677501,-0.28020412879354284
26,"(13, 7, 5, 16)","(0.65, 0.23809523809523808)",1.0405961069966514,1.8939785587819964,0.16356128299096065,1.82008999077304,0.853382451785345,"(15, 6, 3, 19)","(0.7142857142857143, 0.13636363636363635)",1.5646733791177727,2.0847356417636633,0.2654273700803252,1.3323775233775135,0.5200622626458906,"(10, 11, 10, 7)","(0.47619047619047616, 0.5882352941176471)",-0.26742806860629914,0.06671876203695243,-0.08164536557752196,-0.2494830194326913,0.33414683064325157,"(15, 6, 6, 18)","(0.7142857142857143, 0.25)",1.1808645115956902,2.3509586929211603,0.0542704641316093,1.9908792836396902,1.1700941813254702
27,"(9, 11, 13, 11)","(0.45, 0.5416666666666666)",-0.22008183355131192,0.41307150357090544,0.010513945620499378,-1.8768995918720304,0.6331533371222173,"(10, 9, 4, 16)","(0.5263157894736842, 0.2)",0.8543453856865885,1.6378935556755143,0.3878047105985368,1.9171327932663125,0.7835481699889258,"(13, 6, 6, 13)","(0.6842105263157895, 0.3157894736842105)",0.907524380339759,0.7575855218696161,-0.0,0.8347825560190364,-0.14993885847014288,"(14, 10, 6, 15)","(0.5833333333333334, 0.2857142857142857)",0.7394125853446237,2.235259970725073,0.17776021384246915,3.0230212671904524,1.4958473853804493
4,,,,,,,,"(14, 10, 11, 7)","(0.5833333333333334, 0.6111111111111112)",-0.0651006462631018,-0.3915106040485087,-0.24632227065521656,6.0139280717158075,-0.3264099577854069,,,,,,,,"(14, 4, 6, 18)","(0.7777777777777778, 0.25)",1.3598429055709085,0.9713170182680969,-0.0451099617951527,0.7142861975371375,-0.38852588730281157
7,,,,,,,,"(15, 5, 5, 18)","(0.75, 0.21739130434782608)",1.3790782048238936,0.6260204922863907,0.05327203066331354,0.4539412559031289,-0.753057712537503,"(18, 6, 7, 11)","(0.75, 0.3888888888888889)",0.9103395307978694,1.7726067417358597,-0.19613680156678678,1.9471929777478234,0.8622672109379903,"(19, 4, 5, 16)","(0.8260869565217391, 0.23809523809523808)",1.5616363092149577,1.0483407773466062,-0.11318564224370709,0.6713091717709947,-0.5132955318683514
16,,,,,,,,"(17, 9, 6, 12)","(0.6538461538461539, 0.3333333333333333)",0.7870498936349948,0.383700528003744,0.017501001740485134,0.487517412945221,-0.4033493656312508,"(12, 8, 6, 18)","(0.6, 0.25)",0.8843857992789438,1.4542058201235641,0.210571323530141,1.644311590381941,0.5698200208446204,,,,,,,
20,,,,,,,,"(16, 5, 4, 20)","(0.7619047619047619, 0.16666666666666666)",1.5898548380388957,2.96492201370711,0.12748926685610606,1.8649010857899302,1.3750671756682145,"(14, 9, 8, 14)","(0.6086956521739131, 0.36363636363636365)",0.59715207502322,1.178631258846016,0.03641731620454233,1.9737539366336212,0.581479183822796,"(13, 6, 5, 21)","(0.6842105263157895, 0.19230769230769232)",1.282226838751014,1.491456274667487,0.19495905997896795,1.1631766155513312,0.20922943591647303
22,,,,,,,,"(18, 5, 6, 15)","(0.782608695652174, 0.2857142857142857)",1.2791131500642894,1.9969630451338136,-0.10754249479492284,1.5612090650725032,0.7178498950695242,"(16, 2, 4, 21)","(0.8888888888888888, 0.16)",2.0610341560583363,1.65584896953527,-0.11309123281879829,0.8034068550819311,-0.40518518652306623,"(13, 8, 6, 17)","(0.6190476190476191, 0.2608695652173913)",0.8991039652607962,1.4630484695582928,0.16884322093144918,1.627229470769732,0.5639445042974967
