,Subject,VP_scores,VP_rates,VP_dprime,VP_metad,VP_criterion,VP_mratio,VP_mdiff,SM_scores,SM_rates,SM_dprime,SM_metad,SM_criterion,SM_mratio,SM_mdiff,EM_scores,EM_rates,EM_dprime,EM_metad,EM_criterion,EM_mratio,EM_mdiff,EF_scores,EF_rates,EF_dprime,EF_metad,EF_criterion,EF_mratio,EF_mdiff,VP_mratio_log,EF_mratio_log,SM_mratio_log,EM_mratio_log,DGI_VP_EF,DGI_VP_SM,DGI_VP_EM,DGI_EF_SM,DGI_EF_EM,DGI_SM_EM
10,11,"(9, 2, 10, 19)","(0.8181818181818182, 0.3448275862068966)",1.1975382679074813,0.2050042191286376,-0.254567400593917,0.1711880318337148,-0.9925340487788435,"(12, 7, 7, 14)","(0.631578947368421, 0.3333333333333333)",0.728622686151713,1.093850786486608,0.0473445794618172,1.5012582057578807,0.365228100334895,"(15, 2, 10, 13)","(0.8823529411764706, 0.43478260869565216)",1.2426355926869297,0.5669335594768383,-0.5113103278382437,0.4562347665021953,-0.6757020332100911,"(19, 2, 0, 19)","(0.9047619047619048, 0.02631578947368421)",3.1673780347622573,4.280059490790923,0.3143798970335258,1.3512941757557473,1.1126814560286655,-1.7649927252314874,0.30106278194808384,0.4063035603474132,-0.7847477631311828,2.066055507179571,2.171296285578901,0.9802449621003047,0.10524077839932938,1.0858105450792666,1.191051323478596
11,12,"(16, 1, 12, 11)","(0.9411764705882353, 0.5217391304347826)",1.3307489467246976,0.8713476267356013,-0.8096226931049498,0.6547798733038289,-0.4594013199890963,"(11, 6, 6, 17)","(0.6470588235294118, 0.2608695652173913)",0.9657850280258636,2.314883460969106,0.1316374730452754,2.396893090899224,1.3490984329432425,"(17, 7, 7, 9)","(0.7083333333333334, 0.4375)",0.672387622433879,1.5787228803894895,-0.1956057990439637,2.347935666446236,0.9063352579556108,"(19, 0, 2, 19)","(0.9736842105263158, 0.09523809523809523)",3.167378034762257,3.5288258802853987,-0.3143798970335263,1.114115789639323,0.3614478455231418,-0.4234561711233616,0.10806107653393203,0.8741733532474144,0.853536502291605,0.5315172476572936,1.297629524370776,1.2769926734149666,0.7661122767134824,0.745475425757673,0.02063685095580936
12,13,"(14, 13, 4, 9)","(0.5185185185185185, 0.3076923076923077)",0.508483928152694,0.4655064253426469,0.2279832493014142,0.9154791323175484,-0.042977502810047,"(20, 1, 4, 15)","(0.9523809523809523, 0.21052631578947367)",2.2448850686884096,2.579479330736775,-0.4318974067933894,1.149047390761904,0.3345942620483653,"(18, 5, 3, 14)","(0.782608695652174, 0.17647058823529413)",1.6032281640356885,2.3664922910093837,0.0739328400622809,1.4760795400776805,0.7632641269736948,"(17, 2, 4, 17)","(0.8947368421052632, 0.19047619047619047)",1.9758438713052449,1.3712369666413289,-0.1879883355091893,0.6940006680464524,-0.604606904663916,-0.08830770888207916,-0.36528235587283847,0.13893324323964706,0.38938961366784186,0.2769746469907593,0.22724095212172624,0.47769732254992103,0.5042155991124855,0.7546719695406803,0.2504563704281948
13,14,"(15, 7, 6, 12)","(0.6818181818181818, 0.3333333333333333)",0.8574684644867225,-0.0152038965934689,-0.0210309108484048,-0.0177311437366619,-0.8726723610801914,"(13, 5, 5, 17)","(0.7222222222222222, 0.22727272727272727)",1.2640254461116784,1.1462094804706309,0.0792013984567619,0.9067930428113878,-0.1178159656410475,"(9, 8, 6, 17)","(0.5294117647058824, 0.2608695652173913)",0.6799795305047894,1.2921075385070806,0.2834378080554161,1.9002153455235216,0.6121280080022912,"(20, 0, 1, 19)","(0.975, 0.05)",3.4459861893328023,3.438204367874126,-0.1575551787942906,0.9977417723022904,-0.0077818214586762,,-0.0022607813390703568,-0.09784103261971694,0.6419672194991525,,,,0.09558025128064658,0.6442280008382228,0.7398082521188694
14,15,"(18, 3, 7, 12)","(0.8571428571428571, 0.3684210526315789)",1.3168405361172608,1.367959487289894,-0.365766191753159,1.038819393670367,0.0511189511726331,"(17, 9, 3, 11)","(0.6538461538461539, 0.21428571428571427)",1.1082389326452753,0.6662175258617727,0.1979566559644436,0.6011497216322894,-0.4420214067835025,"(12, 7, 7, 14)","(0.631578947368421, 0.3333333333333333)",0.7286226861517124,1.5124053024109465,0.0473445794618172,2.075704381919336,0.7837826162592338,"(14, 3, 3, 20)","(0.8235294117647058, 0.13043478260869565)",1.9161065719442265,5.16518081025167,0.0977193699606842,2.695664680597952,3.249074238307444,0.038084869933656965,0.9916448086818388,-0.5089112546199813,0.730300557244701,0.9535599387481818,0.5469961245536383,0.692215687311044,1.5005560633018202,0.2613442514371378,1.2392118118646822
15,16,"(15, 7, 3, 15)","(0.6818181818181818, 0.16666666666666666)",1.3501791202825926,-0.4046222675389855,0.2473162225547169,-0.2996804360700661,-1.754801387821578,"(17, 5, 5, 13)","(0.7727272727272727, 0.2777777777777778)",1.264025446111678,1.1322300549336426,-0.0792013984567619,0.8957335933517345,-0.1317953911780354,"(19, 0, 1, 20)","(0.9736842105263158, 0.047619047619047616)",3.4494340268679955,1.1458624512565163,-0.1347701584528751,0.3321885394332161,-2.303571575611479,"(16, 4, 1, 19)","(0.8, 0.05)",2.256872400428898,2.043269922819683,0.4016161966892793,0.905354650281238,-0.2136024776092151,,-0.0994285332828406,-0.11011223906670292,-1.102052581394988,,,,0.010683705783862324,1.0026240481121473,0.9919403423282851
16,17,"(13, 7, 8, 12)","(0.65, 0.4)",0.6071467506865964,1.1152685810599392,-0.065986681635884,1.8369011771844768,0.5081218303733428,"(13, 2, 5, 20)","(0.8666666666666667, 0.2)",1.8110846985315328,1.2639288513703006,-0.1345751915319356,0.6978850036086782,-0.5471558471612321,"(15, 2, 6, 17)","(0.8823529411764706, 0.2608695652173913)",1.6956195182630918,1.4516031554439603,-0.2730822714183568,0.856090142752609,-0.2440163628191314,"(20, 1, 2, 17)","(0.9523809523809523, 0.10526315789473684)",2.6398194227039493,2.707890287205205,-0.2081358368409297,1.0257861821592065,0.0680708645012555,0.6080800090235476,0.0254593255754295,-0.3597009410697123,-0.15537960143080054,0.5826206834481181,0.9677809500932599,0.7634596104543482,0.3851602666451418,0.18083892700623005,0.20432133963891175
17,18,"(10, 9, 5, 16)","(0.5263157894736842, 0.23809523809523808)",0.7371965281392951,0.6353463539048778,0.3232156100068242,0.861841218254934,-0.1018501742344173,"(10, 10, 7, 13)","(0.5, 0.35)",0.3661063568005692,0.6657541246628265,0.1926602332037838,1.8184719065817416,0.2996477678622573,"(17, 7, 8, 8)","(0.7083333333333334, 0.5)",0.5244005127080407,0.252322791955055,-0.274261141349049,0.4811642739478697,-0.2720777207529856,"(19, 2, 5, 14)","(0.9047619047619048, 0.2631578947368421)",1.805174176264681,1.745245026916381,-0.337765858003038,0.9668014587532452,-0.0599291493482996,-0.1486842268460364,-0.03376212130698301,0.597996536649051,-0.7315465413039168,0.11492210553905341,0.7466807634950874,0.5828623144578804,0.6317586579560339,0.6977844199969339,1.3295430779529678
18,19,"(14, 5, 6, 15)","(0.7368421052631579, 0.2857142857142857)",1.1352792322452507,0.163066191748212,-0.0338455894234189,0.1436353164196571,-0.9722130404970386,"(10, 9, 6, 15)","(0.5263157894736842, 0.2857142857142857)",0.6002258841459874,0.9871954548769196,0.2499685047785112,1.6447065695634229,0.3869695707309321,"(18, 0, 1, 21)","(0.9722222222222222, 0.045454545454545456)",3.4503210969205105,3.675344434557112,-0.1119420977353296,1.0652180858869744,0.2250233376366015,"(17, 5, 1, 17)","(0.7727272727272727, 0.05555555555555555)",2.121290082315188,3.028958122915037,0.4226801116298742,1.4278849216177054,0.9076680405998498,-1.9404777165352955,0.35619427356763045,0.4975619911411441,0.06317955367847868,2.2966719901029258,2.4380397076764395,2.003657270213774,0.14136771757351363,0.2930147198891518,0.4343824374626654
19,20,"(13, 7, 8, 12)","(0.65, 0.4)",0.6071467506865966,0.6698340057586777,-0.065986681635884,1.1032489344646754,0.062687255072081,"(16, 1, 3, 20)","(0.9411764705882353, 0.13043478260869565)",2.4374665788706915,1.861365071235606,-0.2201941198965796,0.7636474228491779,-0.5761015076350855,"(13, 2, 1, 24)","(0.8666666666666667, 0.04)",2.584435134466625,2.341651958496638,0.3199572273076922,0.9060594817288412,-0.2427831759699867,"(25, 0, 1, 14)","(0.98, 0.06666666666666667)",3.387912728198588,3.848167939899227,-0.2763314822938988,1.135852145148191,0.4602552117006393,0.09825940335212038,0.12738315790935745,-0.2696490847514753,-0.09865032197188835,0.029123754557237064,0.36790848810359567,0.19690972532400874,0.39703224266083276,0.22603347988124578,0.17099876277958698
20,21,"(20, 3, 9, 8)","(0.8695652173913043, 0.5294117647058824)",0.9847875314515973,0.7573079865106573,-0.5990647526884556,0.7690064732992402,-0.2274795449409398,"(11, 3, 9, 17)","(0.7857142857142857, 0.34615384615384615)",1.1082389326452768,1.465243643382582,-0.1979566559644436,1.3221369509959044,0.3570047107373051,"(16, 9, 3, 12)","(0.64, 0.2)",1.120524224030942,0.6529612058646317,0.2415812201608602,0.5827283264931904,-0.4675630181663104,"(25, 2, 4, 9)","(0.9259259259259259, 0.3076923076923077)",1.8088743856338168,3.935630121777504,-0.4718506847724098,2.1757343423260904,2.126755736143686,-0.2626558916975661,0.7773662362125925,0.27924932985820683,-0.5400341935327787,1.0400221279101585,0.5419052215557729,0.2773783018352126,0.49811690635438566,1.3174004297453712,0.8192835233909855
21,22,"(12, 6, 7, 15)","(0.6666666666666666, 0.3181818181818182)",0.8574684644867236,0.6278015828082412,0.0210309108484049,0.7321570516112683,-0.2296668816784824,"(14, 9, 6, 11)","(0.6086956521739131, 0.35294117647058826)",0.6196373946654539,1.5899819317870834,0.0507354403602968,2.565987697765601,0.9703445371216296,"(20, 1, 1, 18)","(0.9523809523809523, 0.05263157894736842)",2.929001513266397,2.123542111708667,-0.0242674676544045,0.7250054675938051,-0.8054594015577301,"(17, 0, 5, 18)","(0.9705882352941176, 0.21739130434782608)",2.656099868917073,2.8980405241088243,-0.5542380744053605,1.09108868910505,0.2419406551917511,-0.3117602366521675,0.08717599511895113,0.9423434718583358,-0.3215760826472026,0.39893623177111864,1.2541037085105033,0.0098158459950351,0.8551674767393846,0.40875207776615374,1.2639195545055384
22,23,"(12, 6, 9, 13)","(0.6666666666666666, 0.4090909090909091)",0.6264471676899438,0.1779746100402124,-0.1004215908581127,0.2841015479350045,-0.4484725576497314,"(16, 2, 5, 17)","(0.8888888888888888, 0.22727272727272727)",1.8280608844715835,2.344076732035388,-0.2363908770420237,1.2822749788845045,0.5160158475638044,"(13, 7, 3, 17)","(0.65, 0.15)",1.3335279229022707,0.9864194655342462,0.325556461543111,0.7397066447528277,-0.3471084573680245,"(15, 0, 2, 23)","(0.9666666666666667, 0.08)",3.166514539525139,1.986232322945196,-0.2144215377531408,0.627261393608841,-1.180282216579943,-1.2584235415799763,-0.4663919295182067,0.24863582760793249,-0.3015015973911773,0.7920316120617696,1.5070593691879088,0.956921944188799,0.7150277571261392,0.16489033212702936,0.5501374249991098
23,24,"(15, 5, 4, 16)","(0.75, 0.2)",1.4291227687057515,0.7670965459878567,0.0835657416884162,0.5367604258957809,-0.6620262227178948,"(16, 7, 7, 10)","(0.6956521739130435, 0.4117647058823529)",0.6992048053625947,0.8645921210786695,-0.1444641914654812,1.2365362973017726,0.1653873157160748,"(18, 7, 6, 9)","(0.72, 0.4)",0.7950868721683847,1.6718627674049524,-0.1647472020677082,2.102742261163737,0.8767758952365677,"(18, 1, 0, 21)","(0.9473684210526315, 0.023809523809523808)",3.439955040044437,1.520033754065894,0.1804480690045046,0.4418760525562736,-1.919921285978543,-0.6222034182930645,-0.8167258603114527,0.2123141624225459,0.7432423315130056,0.1945224420183882,0.8345175807156103,1.36544574980607,1.0290400227339986,1.5599681918244581,0.5309281690904597
24,25,"(13, 5, 8, 14)","(0.7222222222222222, 0.36363636363636365)",0.8879280408999506,1.1050089168698871,-0.1203500511663668,1.244480257375267,0.2170808759699365,"(21, 3, 4, 12)","(0.875, 0.25)",1.7092235584471456,0.9567813450135484,-0.237929815089963,0.5597754256808853,-0.7524422134335971,"(16, 1, 2, 21)","(0.9411764705882353, 0.08695652173913043)",2.641155688163736,3.2586702279977304,-0.1024945437115961,1.2338046721749,0.6175145398339947,"(20, 1, 1, 18)","(0.9523809523809523, 0.05263157894736842)",2.929001513266397,5.004187938835534,-0.0242674676544045,1.7084961944095778,2.075186425569137,0.21871797879872598,0.5356135651253543,-0.5802196012550479,0.2101026246033005,0.3168955863266283,0.7989375800537739,0.008615354195425473,1.1158331663804022,0.32551094052205376,0.7903222258583484
