Subject,VP_scores,VP_rates,VP_dprime,VP_metad,VP_criterion,VP_mratio,VP_mdiff,SM_scores,SM_rates,SM_dprime,SM_metad,SM_criterion,SM_mratio,SM_mdiff,EM_scores,EM_rates,EM_dprime,EM_metad,EM_criterion,EM_mratio,EM_mdiff,EF_scores,EF_rates,EF_dprime,EF_metad,EF_criterion,EF_mratio,EF_mdiff
95,"(19, 6, 5, 10)","(0.76, 0.3333333333333333)",1.0767398155178063,0.4144322958395812,-0.13778763177231493,0.3848954871611949,-0.6623075196782251,"(10, 4, 5, 21)","(0.7142857142857143, 0.19230769230769232)",1.3528651612891753,1.3225311410192442,0.1517374756780115,0.9775779426228811,-0.03033402026993115,"(21, 1, 2, 16)","(0.9545454545454546, 0.1111111111111111)",2.6313479671302415,1.4276276550848617,-0.23499064036877426,0.5425461295572542,-1.2037203120453799,"(15, 4, 5, 16)","(0.7894736842105263, 0.23809523809523808)",1.4299047765565498,1.9795502467286643,-0.0460766739854056,1.3843930583236128,0.5496454701721145
96,"(17, 6, 8, 9)","(0.7391304347826086, 0.47058823529411764)",0.6799795305047879,0.5926195484716603,-0.2834378080554161,0.871525570823764,-0.08735998203312756,"(10, 3, 5, 22)","(0.7692307692307693, 0.18518518518518517)",1.528937148892072,1.9333825016880521,0.07973195075372985,1.2645271279392074,0.40444535279598015,"(16, 9, 5, 10)","(0.64, 0.3333333333333333)",0.7463525282047394,1.458111034816857,0.036134253022131885,1.9536492203277807,0.7117585066121177,"(17, 5, 1, 17)","(0.7727272727272727, 0.05555555555555555)",2.1212900823151886,1.6867205460387913,0.42268011162987423,0.7951390336006731,-0.4345695362763973
97,"(14, 4, 8, 14)","(0.7777777777777778, 0.36363636363636365)",1.049502598375287,0.7575905892510892,-0.2079769891346712,0.7218568019020624,-0.2919120091241978,"(15, 4, 3, 18)","(0.7894736842105263, 0.14285714285714285)",1.753616198513356,1.492754650353001,0.1314870717589206,0.8512436481930865,-0.2608615481603551,"(14, 4, 2, 20)","(0.7777777777777778, 0.09090909090909091)",1.9499920621466835,2.32756784659299,0.28523403116627494,1.1936293956143829,0.3775757844463066,"(16, 3, 0, 21)","(0.8421052631578947, 0.023809523809523808)",2.9350128601794605,3.738768502085675,0.4888022144923726,1.2738508075419708,0.8037556419062146
98,"(16, 7, 7, 10)","(0.6956521739130435, 0.4117647058823529)",0.6992048053625939,0.5114711354273932,-0.14446419146548128,0.731504033588777,-0.1877336699352007,"(18, 4, 3, 15)","(0.8181818181818182, 0.16666666666666666)",1.7566892278884123,1.1457291357787893,0.02948184878215787,0.652209347897002,-0.610960092109623,"(15, 6, 4, 15)","(0.7142857142857143, 0.21052631578947367)",1.2929341325632429,2.265666630501595,0.11932377921371856,1.7523449752308025,0.972732497938352,"(19, 1, 0, 20)","(0.95, 0.025)",3.4459861893328023,3.250254326841276,0.15755517879429115,0.9432000444176407,-0.19573186249152652
99,"(11, 6, 12, 11)","(0.6470588235294118, 0.5217391304347826)",0.30324523746359056,1.597020177207438,-0.2159554293383275,5.266431191352793,1.2937749397438474,"(10, 8, 5, 17)","(0.5555555555555556, 0.22727272727272727)",0.841415355685196,1.6516026727788338,0.30407414794072,1.9628862982110327,0.8101873170936378,"(13, 5, 2, 20)","(0.7222222222222222, 0.09090909090909091)",1.788417504671346,1.7037088202135684,0.37286096913457933,0.9526348382094681,-0.08470868445777757,"(20, 6, 2, 12)","(0.7692307692307693, 0.14285714285714285)",1.6713433549302148,3.3350697335876403,0.1656273032510059,1.9954426023531788,1.6637263786574255
100,"(16, 3, 17, 4)","(0.8421052631578947, 0.8095238095238095)",0.10909480014424378,0.1371351232594822,-0.9396454084546872,1.257027127582285,0.028040323115238436,"(14, 4, 3, 19)","(0.7777777777777778, 0.13636363636363635)",1.7436517730929915,1.6681338000965478,0.1660469441535632,0.9566897621636427,-0.0755179729964437,"(23, 0, 0, 17)","(0.9782608695652174, 0.029411764705882353)",3.951339956756945,3.594410047414648,-0.06478812012485613,0.9096686407020148,-0.35692990934229707,"(19, 4, 2, 15)","(0.8260869565217391, 0.11764705882352941)",1.9724714670956347,2.6545198897775584,0.12400855793945764,1.3457836699083945,0.6820484226819237
101,"(13, 6, 7, 14)","(0.6842105263157895, 0.3333333333333333)",0.8637455123572158,-0.07581312535776802,-0.024389177017746316,-0.0877725259039196,-0.9395586377149838,"(14, 5, 8, 13)","(0.7368421052631579, 0.38095238095238093)",0.8865694811169429,2.1551145109018788,-0.1653297763617472,2.430846715123514,1.2685450297849359,"(20, 1, 3, 16)","(0.9523809523809523, 0.15789473684210525)",2.424059333401423,1.7382840659108283,-0.3326216131422727,0.717096335868842,-0.6857752674905948,"(20, 1, 4, 15)","(0.9523809523809523, 0.21052631578947367)",2.2448850686884096,2.8682453408870945,-0.4318974067933894,1.277680261182764,0.6233602721986848
102,"(19, 3, 14, 4)","(0.8636363636363636, 0.7777777777777778)",0.3106567727370083,0.3955082865421867,-0.9307566179399502,1.2731358890314968,0.08485151380517841,"(18, 3, 4, 15)","(0.8571428571428571, 0.21052631578947367)",1.753616198513356,2.0063112062951363,-0.1314870717589205,1.1440993804664925,0.2526950077817802,"(14, 9, 2, 15)","(0.6086956521739131, 0.11764705882352941)",1.3494718849026826,2.2242029594956456,0.4554551848239292,1.6482025186141944,0.8747310745929631,"(15, 2, 2, 21)","(0.8823529411764706, 0.08695652173913043)",2.3434864691398563,3.141518721049823,0.08645297559139387,1.340532050181998,0.7980322519099667
103,"(17, 4, 10, 9)","(0.8095238095238095, 0.5263157894736842)",0.7627877129860225,0.9807685940011325,-0.47107733081134073,1.2857687365752104,0.21798088101510993,"(12, 7, 9, 12)","(0.631578947368421, 0.42857142857142855)",0.49038645360188704,0.3682471432522262,-0.07801288528955898,0.7509325360589634,-0.12213931034966086,"(26, 2, 3, 9)","(0.9285714285714286, 0.25)",1.9796298527663019,-0.1548863310895481,-0.39537202124472065,-0.07824004617485057,-2.13451618385585,"(17, 1, 1, 21)","(0.9444444444444444, 0.045454545454545456)",2.9245771649738437,1.0382606811373645,0.048701405780923857,0.35501223683617533,-1.8863164838364792
104,"(19, 7, 3, 11)","(0.7307692307692307, 0.21428571428571427)",1.317369088731422,-0.6804943951517873,0.08824875157370066,-0.5165556114627514,-1.9978634838832092,"(14, 8, 4, 14)","(0.6363636363636364, 0.2222222222222222)",1.049502598375287,0.6244276379528262,0.2079769891346712,0.5949748375273101,-0.42507496042246085,"(12, 4, 4, 20)","(0.75, 0.16666666666666666)",1.5442693054750052,0.9931993053303163,0.14646590795280967,0.643151619869059,-0.5510700001446889,"(15, 4, 2, 19)","(0.7894736842105263, 0.09523809523809523)",1.9628290765826715,2.0405053869547483,0.2522876682127384,1.0395736497379144,0.07767631037207678
105,"(15, 1, 7, 17)","(0.9375, 0.2916666666666667)",1.8761027526387022,-0.11702448001695409,-0.4927991308272242,-0.06237637029867443,-1.9931272326556564,"(12, 9, 4, 15)","(0.5714285714285714, 0.21052631578947367)",0.9271621159979804,1.2212555124079705,0.31229200528379764,1.3171973825671612,0.2940933964099901,"(15, 4, 6, 15)","(0.7894736842105263, 0.2857142857142857)",1.2929341325632424,1.4633367062799736,-0.11932377921371856,1.1317952472790769,0.17040257371673118,"(21, 2, 1, 16)","(0.9130434782608695, 0.058823529411764705)",2.641155688163736,3.7397359502897793,0.10249454371159661,1.4159468020190173,1.0985802621260432
