,Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,visual_scores,visual_rates,visual_dprime,visual_metad,visual_criterion,visual_mratio,visual_mdiff,motor_scores,motor_rates,motor_dprime,motor_metad,motor_criterion,motor_mratio,motor_mdiff,visuomotor_scores,visuomotor_rates,visuomotor_dprime,visuomotor_metad,visuomotor_criterion,visuomotor_mratio,visuomotor_mdiff,memory_mratio_log,visual_mratio_log,visuomotor_mratio_log,motor_mratio_log,DGI_memory_visual,DGI_memory_visuomotor,DGI_memory_motor,DGI_visual_visuomotor,DGI_visual_motor,DGI_visuomotor_motor
10,11,"(81, 31, 35, 40)","(0.7232142857142857, 0.4666666666666667)",0.6690744893712166,1.52436546711565,-0.254382600737552,2.278319516483463,0.8552909777444335,"(54, 34, 16, 76)","(0.6136363636363636, 0.17391304347826086)",1.210718719287613,0.545410885021566,0.3250024809012198,0.4504852170308276,-0.665307834266047,"(80, 26, 26, 60)","(0.7547169811320755, 0.3023255813953488)",1.1930829015068092,1.2581205137632423,-0.08584263108039,1.0545122322801657,0.0650376122564331,"(64, 22, 28, 78)","(0.7441860465116279, 0.2641509433962264)",1.271477668450332,1.1972563427245209,-0.0128523333015452,0.9416259305471943,-0.074221325725811,0.8234381170344602,-0.7974300170541133,-0.06014718460132854,0.05307832094543431,1.6208681340885736,0.8835853016357887,0.7703597960890259,0.7372828324527848,0.8505083379995476,0.11322550554676286
11,12,"(74, 27, 15, 67)","(0.7326732673267327, 0.18292682926829268)",1.5039471446301964,1.567691671905113,0.141674586778636,1.042384818843212,0.0637445272749166,"(73, 19, 32, 56)","(0.7934782608695652, 0.36363636363636365)",1.1522182182347689,0.8556224752180442,-0.2348969119194736,0.7425871780858336,-0.2965957430167246,"(70, 31, 25, 66)","(0.693069306930693, 0.27472527472527475)",1.0904454541704154,0.9150906429102592,0.0470071907400886,0.8391897452646433,-0.1753548112601562,"(62, 29, 26, 75)","(0.6813186813186813, 0.25742574257425743)",1.1098259006557385,0.8876804822245923,0.0899563233365376,0.7998375976809587,-0.2221454184311462,0.041511183064745855,-0.29761500363406823,-0.2233465748208888,-0.1753184416307597,0.3391261866988141,0.26485775788563465,0.21682962469550557,0.07426842881317944,0.12229656200330852,0.04802813319012908
12,13,"(79, 20, 26, 67)","(0.797979797979798, 0.27956989247311825)",1.4010559817092896,1.8741387506311824,-0.125153655697406,1.3376615746251137,0.4730827689218928,"(57, 27, 26, 70)","(0.6785714285714286, 0.2708333333333333)",1.0610277194227062,0.2650450543958058,0.0732934293645767,0.2498003110983886,-0.7959826650269004,,,,,,,,,,,,,,,0.2909229959499034,-1.387093435901569,,,1.6780164318514723,,,,,
13,14,"(55, 27, 23, 84)","(0.6707317073170732, 0.21495327102803738)",1.2166060484479462,1.8241021301226352,0.1737085314565896,1.4993367265021298,0.607496081674689,"(59, 37, 12, 72)","(0.6145833333333334, 0.14285714285714285)",1.3373284878226563,1.1402274223379492,0.3881427454373702,0.8526158178192904,-0.1971010654847071,"(78, 15, 38, 61)","(0.8387096774193549, 0.3838383838383838)",1.2669174237623742,1.640617603045295,-0.3468767427526986,1.294968063643123,0.3737001792829209,"(77, 22, 30, 63)","(0.7777777777777778, 0.3225806451612903)",1.210655604941088,1.7106503130504638,-0.1521075673416354,1.4129949971476043,0.4999947081093758,0.40502282798481476,-0.1594462223726286,0.34571156310702433,0.25848603356796496,0.5644690503574433,0.059311264877790426,0.1465367944168498,0.505157785479653,0.4179322559405936,0.08722552953905938
14,15,"(64, 21, 30, 69)","(0.7529411764705882, 0.30303030303030304)",1.1845632071646766,2.052230893564882,-0.0840347930931301,1.7324790109571444,0.8676676864002053,"(60, 32, 19, 69)","(0.6521739130434783, 0.2159090909090909)",1.1620049411767404,1.122327205444847,0.1974439523638642,0.9658540731404184,-0.0396777357318933,"(65, 31, 17, 79)","(0.6770833333333334, 0.17708333333333334)",1.3682730788850292,1.053561464827914,0.2334896753605738,0.7699935642133909,-0.3147116140571153,"(67, 29, 20, 76)","(0.6979166666666666, 0.20833333333333334)",1.3143564308127846,0.7218394794221561,0.1468999065303298,0.5491961407879123,-0.5925169513906285,0.5495533371208843,-0.03474251918242079,-0.5992996320833084,-0.26137312233376453,0.584295856303305,1.1488529692041927,0.8109264594546488,0.5645571129008876,0.22663060315134373,0.33792650974954386
15,16,"(67, 31, 26, 56)","(0.6836734693877551, 0.3170731707317073)",0.9425103246133608,1.7954249090517391,-0.0010484983209558,1.9049392480536096,0.8529145844383785,"(37, 48, 7, 88)","(0.43529411764705883, 0.07368421052631578)",1.2567966588442705,1.424235428637865,0.8059004652128023,1.1332266191315057,0.1674387697935941,"(74, 26, 28, 64)","(0.74, 0.30434782608695654)",1.1419703948616375,1.316033917845103,-0.0657045957607938,1.1524238489602483,0.1740635229834655,"(73, 19, 30, 70)","(0.7934782608695652, 0.3)",1.3262547572415393,0.8498141802255282,-0.1470745033239755,0.6407623992188697,-0.476440577016011,0.6444501172846355,0.1250689789308656,-0.445096562822776,0.14186741905075817,0.5193811383537699,1.0895466801074116,0.5025826982338774,0.5701655417536415,0.016798440119892566,0.5869639818735342
16,17,"(70, 29, 25, 60)","(0.7070707070707071, 0.29411764705882354)",1.073296118494214,1.6116664037512296,-0.0017260771087915,1.50160461402984,0.5383702852570156,"(63, 27, 26, 64)","(0.7, 0.28888888888888886)",1.0679466380184284,0.3155628127185719,0.0161165541795851,0.2954855621851085,-0.7523838252998565,,,,,,,,,,,,,,,0.4065342790277427,-1.2191353022632636,,,1.6256695812910062,,,,,
17,18,"(63, 25, 24, 68)","(0.7159090909090909, 0.2608695652173913)",1.1963625060994016,1.2134680668137556,0.0349678096377185,1.0142979745914344,0.0171055607143539,"(64, 20, 34, 62)","(0.7619047619047619, 0.3541666666666667)",1.0725799464850945,1.245483899964399,-0.1691738110958827,1.1612037909583528,0.1729039534793044,"(79, 22, 34, 57)","(0.7821782178217822, 0.37362637362637363)",1.088847445839851,0.934820910131374,-0.2286534158537189,0.8585416751474555,-0.154026535708477,"(70, 21, 35, 66)","(0.7692307692307693, 0.3465346534653465)",1.1173497161346668,0.7089414667209298,-0.170811348608369,0.6344848497151144,-0.408408249413737,0.014196722544259584,0.1494572178532884,-0.4549418696303173,-0.15252005567903193,0.1352604953090288,0.4691385921745769,0.1667167782232915,0.6043990874836057,0.3019772735323203,0.30242181395128537
18,19,"(59, 32, 13, 76)","(0.6483516483516484, 0.14606741573033707)",1.4129649740145205,1.4255643107395055,0.3362879354126759,1.0089169490799113,0.0125993367249854,"(88, 7, 39, 46)","(0.9263157894736842, 0.4588235294117647)",1.5199886673379508,1.549983525483222,-0.6727457653318963,1.0197336064339235,0.0299948581452711,"(76, 22, 29, 65)","(0.7755102040816326, 0.30851063829787234)",1.242217640881089,1.3292588795732343,-0.1285204443103554,1.0700692341081297,0.0870412386921453,"(71, 23, 29, 69)","(0.7553191489361702, 0.29591836734693877)",1.213014009792357,1.112578050278928,-0.0775740662814925,0.917201319438494,-0.1004359595134289,0.008877427854878956,0.019541423022493374,-0.08642828944894917,0.06772335115450422,0.010663995167614418,0.09530571730382813,0.058845923299625263,0.10596971247144255,0.048181928132010846,0.15415164060345338
19,20,"(60, 33, 27, 67)","(0.6451612903225806, 0.2872340425531915)",0.9230668172481158,0.9909134154663392,0.0945969892913894,1.0735012860937745,0.0678465982182233,"(56, 33, 14, 77)","(0.6292134831460674, 0.15384615384615385)",1.3303079860823173,1.0036021627278189,0.3451526377933962,0.7544133939114137,-0.3267058233544986,"(78, 21, 35, 58)","(0.7878787878787878, 0.3763440860215054)",1.1008250512639075,0.4096461728018258,-0.2419929902549698,0.3721264994210409,-0.6911788784620817,"(79, 14, 40, 59)","(0.8494623655913979, 0.40404040404040403)",1.258778170668828,-0.1779120290232138,-0.3956138050355267,-0.1413370784215964,-1.4366901996920418,0.07092553637396377,-0.28181479343102983,,-0.9885214303065389,0.3527403298049936,,1.0594469666805026,,0.706706636875509,
