Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,visual_scores,visual_rates,visual_dprime,visual_metad,visual_criterion,visual_mratio,visual_mdiff,motor_scores,motor_rates,motor_dprime,motor_metad,motor_criterion,motor_mratio,motor_mdiff,visuomotor_scores,visuomotor_rates,visuomotor_dprime,visuomotor_metad,visuomotor_criterion,visuomotor_mratio,visuomotor_mdiff
21,"(66, 28, 27, 60)","(0.7021276595744681, 0.3103448275862069)",1.0131769238227102,1.2925586707675374,-0.017828298310221202,1.2757482334780401,0.2793817469448272,"(73, 18, 33, 56)","(0.8021978021978022, 0.3707865168539326)",1.1637184855502747,0.8027972886526136,-0.25986338386942165,0.6898552344238166,-0.3609211968976611,"(68, 23, 30, 71)","(0.7472527472527473, 0.297029702970297)",1.184706608852289,0.9224658379579534,-0.06645341273337557,0.7786449666653019,-0.2622407708943356,"(77, 24, 26, 65)","(0.7623762376237624, 0.2857142857142857)",1.2647815202671402,0.9289395836547116,-0.07400913813255744,0.734466442440198,-0.33584193661242856
22,"(53, 28, 37, 64)","(0.654320987654321, 0.36633663366336633)",0.7300053957479995,1.0249309454992437,-0.027720567616455416,1.4040046162248554,0.2949255497512442,"(60, 21, 30, 69)","(0.7407407407407407, 0.30303030303030304)",1.1466660610885349,0.2523653756237557,-0.06496297779147175,0.22008619962483603,-0.8943006854647791,"(65, 31, 29, 66)","(0.6770833333333334, 0.30526315789473685)",0.9580202929594166,0.13890475421699278,0.024882035464628777,0.14499145293457477,-0.8191155387424238,"(67, 28, 33, 64)","(0.7052631578947368, 0.3402061855670103)",0.9408652089586365,-0.27793264153592867,-0.0638492050826826,-0.2954011253573173,-1.2187978504945651
23,"(69, 24, 25, 73)","(0.7419354838709677, 0.25510204081632654)",1.2922161181625618,1.2516056850738977,0.004598018680935567,0.9685730331653739,-0.04061043308866408,"(36, 46, 6, 92)","(0.43902439024390244, 0.061224489795918366)",1.3573636819734103,1.4952185056866028,0.8490093421932947,1.1015607132738159,0.13785482371319246,"(65, 38, 29, 60)","(0.6310679611650486, 0.3258426966292135)",0.7774017741294612,0.9353318284619381,0.05836942690798455,1.20315113701577,0.15793005433247687,"(62, 27, 32, 70)","(0.6966292134831461, 0.3137254901960784)",0.9887122867620619,1.0467170048884151,-0.014706230456498048,1.058666933649943,0.058004718126353216
24,"(64, 32, 27, 59)","(0.6666666666666666, 0.313953488372093)",0.9046617704672135,1.8076088780580826,0.0269737983636619,1.998104636525694,0.902947107590869,"(68, 14, 38, 60)","(0.8292682926829268, 0.3877551020408163)",1.217974555204839,0.9878687667967727,-0.33305144519198127,0.8110750446922373,-0.2301057884080664,"(68, 32, 19, 73)","(0.68, 0.20652173913043478)",1.270262052297352,0.21504480266034282,0.17542536012074178,0.169291684555498,-1.0552172496370091,"(72, 20, 30, 70)","(0.782608695652174, 0.3)",1.2894551361699924,0.06259026289439693,-0.12831664940733395,0.04854008576080113,-1.2268648732755956
25,"(70, 18, 30, 76)","(0.7954545454545454, 0.2830188679245283)",1.381764823745601,1.5604971674955914,-0.12579891729052428,1.129350769883904,0.17873234374999036,"(66, 27, 24, 63)","(0.7096774193548387, 0.27586206896551724)",1.1335152883085706,1.539580264519318,0.02136797434325166,1.3582351119557257,0.40606497621074733,"(69, 26, 29, 68)","(0.7263157894736842, 0.29896907216494845)",1.1161091658840603,1.4529001045900631,-0.037170137258121405,1.301754477967425,0.33679093870600285,"(75, 22, 31, 64)","(0.7731958762886598, 0.3263157894736842)",1.1852882409071674,1.2712653018034545,-0.14965187217501646,1.0725368378163307,0.0859770608962871
26,"(64, 28, 31, 57)","(0.6956521739130435, 0.3522727272727273)",0.8806584242077627,1.3644649097000718,-0.06637221649382458,1.5493690541001066,0.4838064854923091,"(85, 12, 34, 49)","(0.8762886597938144, 0.40963855421686746)",1.3637521193214903,1.1158865233451654,-0.4640786526308846,0.8182473248146841,-0.24786559597632496,"(74, 27, 31, 60)","(0.7326732673267327, 0.34065934065934067)",1.0199450065166362,0.24492948100810277,-0.10512691695293183,0.24013988935011052,-0.7750155255085335,"(61, 30, 27, 74)","(0.6703296703296703, 0.26732673267326734)",1.0497145158769559,0.15776713712933352,0.09004725219055582,0.15029528004338513,-0.8919473787476223
27,"(80, 28, 28, 55)","(0.7407407407407407, 0.3373493975903614)",1.0532398712403643,1.635501712679154,-0.11296138490710217,1.5528292816650398,0.5822618414387897,"(61, 25, 28, 66)","(0.7093023255813954, 0.2978723404255319)",1.0687414276436513,0.27192844307399494,-0.010408967465735885,0.2544380109541927,-0.7968129845696563,"(70, 27, 31, 64)","(0.7216494845360825, 0.3263157894736842)",1.0261202113469463,0.10369286920044894,-0.06881962725746432,0.1010533347397334,-0.9224273421464974,"(66, 29, 27, 70)","(0.6947368421052632, 0.27835051546391754)",1.0845655806719328,0.24189929702765334,0.039213153844498305,0.22303796223902553,-0.8426662836442794
28,"(66, 23, 32, 62)","(0.7415730337078652, 0.3404255319148936)",1.0466479255332581,1.6596901088286389,-0.11845026378045115,1.585719579946658,0.6130421832953807,"(56, 25, 27, 72)","(0.691358024691358, 0.2727272727272727)",1.0908469795604514,0.31445395087433026,0.05244098218772675,0.2882658675014502,-0.7763930286861211,"(69, 35, 21, 67)","(0.6634615384615384, 0.23863636363636365)",1.1189186861230138,0.6671795705862336,0.1443834843533159,0.5962717209576424,-0.45173911553678026,"(60, 28, 29, 75)","(0.6818181818181818, 0.27884615384615385)",1.0470851167614303,1.0433061580912202,0.05674176420518884,0.9963909727970366,-0.003778958670210164
29,"(65, 26, 24, 69)","(0.7142857142857143, 0.25806451612903225)",1.2004883631818384,1.5080592927303518,0.041687545626801326,1.2562048404478583,0.3075709295485134,,,,,,,,"(71, 26, 30, 65)","(0.7319587628865979, 0.3157894736842105)",1.0856957470142552,0.1621962631494809,-0.06962110437987806,0.14939384592371555,-0.9234994838647743,"(71, 24, 32, 65)","(0.7473684210526316, 0.32989690721649484)",1.0935984155364258,0.9766579282456852,-0.11301681067811928,0.8930681632037848,-0.11694048729074058
30,"(56, 25, 35, 64)","(0.691358024691358, 0.35353535353535354)",0.8649429429030477,2.094990488923282,-0.06195513384120194,2.422114089851718,1.2300475460202343,"(65, 45, 5, 65)","(0.5909090909090909, 0.07142857142857142)",1.650109816474417,1.0347615483650048,0.6176748375531455,0.6270864751146382,-0.6153482681094122,"(65, 28, 26, 72)","(0.6989247311827957, 0.2653061224489796)",1.1350979252750077,1.2125619874918832,0.05288062972753116,1.0682443871070486,0.0774640622168754,"(70, 28, 26, 68)","(0.7142857142857143, 0.2765957446808511)",1.1455636705178667,1.2987395897797256,0.013517866024384373,1.1337122703905351,0.15317591926185892
